,simulation id,status,created,agent,question,question id,answer instruction,answer,justification,justification prompt,justification content,critic,critic prompt,analysis,suggestions,model,role,temperature,Persona
0,1739335121,completed,2025-02-12 04:38:45+00:00,1,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed.",Scenario_6_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $500, Person B: $500",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
1,1739335121,completed,2025-02-12 04:38:45+00:00,1,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job due to stealing from employer.",Scenario_6_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $700, Person B: $300",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
2,1739335121,completed,2025-02-12 04:38:45+00:00,1,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, cannot find a job in her field, now working at a fast-food restaurant.",Scenario_6_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $550, Person B: $450",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
3,1739335121,completed,2025-02-12 04:38:51+00:00,2,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job due to stealing from employer.",Scenario_6_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $700, Person B: $300",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1,You are a person
4,1739335121,completed,2025-02-12 04:38:51+00:00,2,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, cannot find a job in her field, now working at a fast-food restaurant.",Scenario_6_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $600, Person B: $400",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1,You are a person
5,1739335121,completed,2025-02-12 04:38:56+00:00,3,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job due to stealing from employer.",Scenario_6_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $700, Person B: $300",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
6,1739335121,completed,2025-02-12 04:38:45+00:00,1,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, and can’t find another job in her field.",Scenario_6_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $600, Person B: $400",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
7,1739335121,completed,2025-02-12 04:38:45+00:00,1,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, unable to return to her field, now at a fast-food job, sole breadwinner for her family.",Scenario_6_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $400, Person B: $600",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
8,1739335121,completed,2025-02-12 04:38:51+00:00,2,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed.",Scenario_6_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $500, Person B: $500",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1,You are a person
9,1739335121,completed,2025-02-12 04:38:51+00:00,2,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, and can’t find another job in her field.",Scenario_6_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $600, Person B: $400",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1,You are a person
10,1739335121,completed,2025-02-12 04:38:51+00:00,2,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, unable to return to her field, now at a fast-food job, sole breadwinner for her family.",Scenario_6_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $400, Person B: $600",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1,You are a person
11,1739335121,completed,2025-02-12 04:38:56+00:00,3,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed.",Scenario_6_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $500, Person B: $500",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
12,1739335121,completed,2025-02-12 04:38:56+00:00,3,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, and can’t find another job in her field.",Scenario_6_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $600, Person B: $400",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
13,1739335121,completed,2025-02-12 04:38:56+00:00,3,"Person A: Female, 35 years, working as a nurse; Person B: Female, 35 years, unemployed, lost job for stealing, cannot find a job in her field, now working at a fast-food restaurant.",Scenario_6_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $550, Person B: $450",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
