,simulation id,user id,status,created,agent,question,question id,answer instruction,answer,justification,justification prompt,justification content,critic,critic prompt,analysis,suggestions,model,role,temperature,Persona
0,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:38+00:00,1,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled due to a car accident.",Scenario_4_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $300, Person B: $700",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
1,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:38+00:00,1,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled in a car accident, he was drunk driving.",Scenario_4_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $400, Person B: $600",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
2,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:38+00:00,1,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, his drinking was tied to a close friend's recent death.",Scenario_4_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $350, Person B: $650",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
3,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:38+00:00,1,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend’s death was in a war as a soldier.",Scenario_4_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $300, Person B: $700",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
4,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:38+00:00,1,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend died in war, and Person B survived the same ambush attack while serving.",Scenario_4_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"Person A: $200, Person B: $800",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.7,You are a person
5,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:43+00:00,2,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled in a car accident, he was drunk driving.",Scenario_4_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"$600 to Person A, $400 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1.0,You are a person
6,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:43+00:00,2,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend’s death was in a war as a soldier.",Scenario_4_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"$400 to Person A, $600 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1.0,You are a person
7,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:48+00:00,3,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled in a car accident, he was drunk driving.",Scenario_4_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"$400 to Person A, $600 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
8,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:48+00:00,3,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend’s death was in a war as a soldier.",Scenario_4_Level_4,Allocate a total of $1000 USD between Person A and Person B.,"$250 to Person A, $750 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
9,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:53+00:00,4,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled in a car accident, he was drunk driving.",Scenario_4_Level_2,Allocate a total of $1000 USD between Person A and Person B.,"$400 to Person A, $600 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.8,You are a person
10,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:43+00:00,2,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled due to a car accident.",Scenario_4_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1.0,You are a person
11,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:43+00:00,2,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, his drinking was tied to a close friend's recent death.",Scenario_4_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"$500 to Person A, $500 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1.0,You are a person
12,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:43+00:00,2,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend died in war, and Person B survived the same ambush attack while serving.",Scenario_4_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,1.0,You are a person
13,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:48+00:00,3,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled due to a car accident.",Scenario_4_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
14,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:48+00:00,3,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, his drinking was tied to a close friend's recent death.",Scenario_4_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
15,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:48+00:00,3,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend died in war, and Person B survived the same ambush attack while serving.",Scenario_4_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"$200 to Person A, $800 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.9,You are a person
16,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:53+00:00,4,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled due to a car accident.",Scenario_4_Level_1,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.8,You are a person
17,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:53+00:00,4,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, his drinking was tied to a close friend's recent death.",Scenario_4_Level_3,Allocate a total of $1000 USD between Person A and Person B.,"$300 to Person A, $700 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.8,You are a person
18,1739334693,steve@panalogy-lab.com,completed,2025-02-12 04:31:53+00:00,4,"Person A: Male, 38 years; Person B: Male, 38 years, permanent disability from a drunk-driving accident, friend died in war, and Person B survived the same ambush attack while serving.",Scenario_4_Level_5,Allocate a total of $1000 USD between Person A and Person B.,"$200 to Person A, $800 to Person B",No,NA,NA,No,NA,NA,NA,gpt-4o,Person,0.8,You are a person
